Symbol,Name,Country,IPO Year,Volume,Sector,Industry
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),,2014,86479,Finance,Commercial Banks
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares,Cayman Islands,2020,8426,Finance,Business Services
AVB,AvalonBay Communities Inc. Common Stock,United States,,323735,Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),United States,,97345,Basic Industries,Agricultural Chemicals
AVK,Advent Convertible and Income Fund,United States,2003,65730,Finance,Trusts Except Educational Religious and Charitable
AVLR,Avalara Inc. Common Stock,United States,2018,677834,Technology,EDP Services
AVNS,Avanos Medical Inc. Common Stock,United States,2014,123794,Health Care,Industrial Specialties
AVNT,Avient Corporation Common Stock,United States,,245232,Basic Industries,Major Chemicals
AVTR,Avantor Inc. Common Stock,,2019,3129218,Basic Industries,Industrial Specialties
AVTR^A,Avantor Inc. Series A Mandatory Convertible Preferred Stock,,,6574,,
AVY,Avery Dennison Corporation Common Stock,United States,,564044,Miscellaneous,Office Equipment/Supplies/Services
AVYA,Avaya Holdings Corp. Common Stock,,,1642521,Technology,Retail: Computer Software & Peripheral Equipment
AWF,Alliancebernstein Global High Income Fund,United States,1993,192425,Finance,Trusts Except Educational Religious and Charitable
AWI,Armstrong World Industries Inc Common Stock,United States,,172672,,
AWK,American Water Works Company Inc. Common Stock,United States,2008,404242,Public Utilities,Water Supply
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest,United States,2007,119959,Finance,Trusts Except Educational Religious and Charitable
AWR,American States Water Company Common Stock,United States,,155400,Public Utilities,Water Supply
AX,Axos Financial Inc. Common Stock,United States,2018,168385,Finance,Savings Institutions
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,United States,,560208,Capital Goods,Auto Parts:O.E.M.
AXP,American Express Company Common Stock,United States,,3590575,Finance,Finance: Consumer Services
AXR,AMREP Corporation Common Stock,United States,,10157,Consumer Services,Homebuilding
AXS,Axis Capital Holdings Limited Common Stock,Bermuda,2003,314158,Finance,Property-Casualty Insurers
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,Bermuda,,38390,,
AXTA,Axalta Coating Systems Ltd. Common Shares,United States,2014,959574,Basic Industries,Paints/Coatings
AYI,Acuity Brands Inc. ,United States,,264816,Consumer Durables,Building Products
AYX,Alteryx Inc. Class A Common Stock,United States,2017,752895,Technology,Computer Software: Prepackaged Software
AZEK,The AZEK Company Inc. Class A Common Stock,United States,2020,807974,,
AZO,AutoZone Inc. Common Stock,United States,,122927,,
AZRE,Azure Power Global Limited Equity Shares,India,2016,113752,Public Utilities,Electric Utilities: Central
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Brazil,2017,2398566,Transportation,Air Freight/Delivery Services
AZZ,AZZ Inc.,United States,,46435,Capital Goods,Industrial Machinery/Components
B,Barnes Group Inc. Common Stock,United States,,137760,Capital Goods,Office Equipment/Supplies/Services
BA,Boeing Company (The) Common Stock,United States,,5428863,Capital Goods,Aerospace
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,China,2014,19956870,Consumer Services,Catalog/Specialty Distribution
BAC,Bank of America Corporation Common Stock,United States,,40029305,Finance,Major Banks
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,United States,,51411,,
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,United States,,6607,,
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,United States,,28660,,
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,United States,,2052,,
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,United States,,106489,,
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,United States,,72013,,
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,United States,,167269,,
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,United States,,139595,,
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,United States,,1223859,,
BACA,Berenson Acquisition Corp. I Class A Common Stock,,2021,541169,Finance,Business Services
BAH,Booz Allen Hamilton Holding Corporation Common Stock,United States,2010,648701,Consumer Services,Professional Services
BAK,Braskem SA ADR,Brazil,,123093,Basic Industries,Major Chemicals
BALY,Bally's Corporation Common Stock,,2019,1079259,Consumer Services,Recreational Products/Toys
BAM,Brookfield Asset Management Inc. Common Stock,Canada,,895285,Miscellaneous,Other Consumer Services
BAMH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,,2020,47132,Consumer Services,Building operators
BAMI,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,,2020,12633,Consumer Services,Building operators
BAMR,Brookfield Asset Management Reinsurance Partners Ltd. Class A Exchangeable Limited Voting Shares,,2021,11556,,
BANC,Banc of California Inc. Common Stock,United States,,97657,Finance,Major Banks
BANC^E,Banc of California Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.000% Non-Cumulative Perpetual Preferred Stock Series E,United States,,3345,,
BAP,Credicorp Ltd. Common Stock,Peru,,277719,Finance,Commercial Banks
BARK,BARK Inc. Class A Common Stock,,2020,2310165,Consumer Services,Department/Specialty Retail Stores
BAX,Baxter International Inc. Common Stock,United States,,1338775,Health Care,Medical/Dental Instruments
BB,BlackBerry Limited Common Stock,Canada,,4297137,,
BBAR,Banco BBVA Argentina S.A. ADS,Argentina,,902120,Finance,Commercial Banks
BBD,Banco Bradesco Sa American Depositary Shares,Brazil,,33220721,Finance,Commercial Banks
BBDC,Barings BDC Inc. Common Stock,United States,,101311,Finance,Investment Managers
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),Brazil,,4272,Finance,Commercial Banks
BBL,BHP Group PlcSponsored ADR,Australia,,2070955,Energy,Coal Mining
BBLN,Babylon Holdings Limited Class A Ordinary Shares,United States,,128144,,
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,United States,2010,93374,Finance,Finance Companies
BBU,Brookfield Business Partners L.P. Limited Partnership Units ,,2016,6649,Capital Goods,Building Products
