Symbol,Name,Country,IPO Year,Volume,Sector,Industry
CVA,Covanta Holding Corporation Common Stock,United States,,1418561,,
CVE,Cenovus Energy Inc Common Stock,Canada,,6898492,,
CVEO,Civeo Corporation (Canada) Common Shares,,2014,12736,,
CVI,CVR Energy Inc. Common Stock,United States,2007,265091,Energy,Integrated oil Companies
CVII,Churchill Capital Corp VII Class A Common Stock,,2021,54216,,
CVNA,Carvana Co. Class A Common Stock,United States,2017,1404681,Consumer Services,Other Specialty Stores
CVS,CVS Health Corporation Common Stock,United States,,6108916,Health Care,Managed Health Care
CVX,Chevron Corporation Common Stock,United States,,8499409,Energy,Integrated oil Companies
CW,Curtiss-Wright Corporation Common Stock,United States,,124162,Capital Goods,Industrial Machinery/Components
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,,2021,173019,Technology,Computer Software: Prepackaged Software
CWEN,Clearway Energy Inc. Class C Common Stock,United States,2015,1147422,Public Utilities,Electric Utilities: Central
CWH,Camping World Holdings Inc. Class A Commom Stock,United States,2016,1272887,Consumer Services,Other Specialty Stores
CWK,Cushman & Wakefield plc Ordinary Shares,,2018,1028960,Finance,Real Estate
CWT,California Water Service Group Common Stock,United States,,177514,Public Utilities,Water Supply
CX,Cemex S.A.B. de C.V. Sponsored ADR,Mexico,,8397708,Capital Goods,Building Materials
CXE,MFS High Income Municipal Trust Common Stock,United States,1989,45232,Finance,Investment Managers
CXH,MFS Investment Grade Municipal Trust Common Stock,United States,1989,7116,Finance,Investment Managers
CXM,Sprinklr Inc. Class A Common Stock,,2021,409058,Technology,Computer Software: Prepackaged Software
CXP,Columbia Property Trust Inc. Common Stock,United States,2013,539911,Consumer Services,Real Estate Investment Trusts
CXW,CoreCivic Inc. Common Stock,United States,,342540,Consumer Services,Real Estate Investment Trusts
CYD,China Yuchai International Limited Common Stock,Singapore,1994,17592,Capital Goods,Construction/Ag Equipment/Trucks
CYH,Community Health Systems Inc. Common Stock,United States,2000,1021448,Health Care,Hospital/Nursing Management
CZOO,Cazoo Group Ltd Class A Ordinary Shares,,,378143,Consumer Durables,Automotive Aftermarket
D,Dominion Energy Inc. Common Stock,United States,,2374733,Public Utilities,Electric Utilities: Central
DAC,Danaos Corporation Common Stock,Greece,2006,293624,Transportation,Marine Transportation
DAL,Delta Air Lines Inc. Common Stock,United States,,7566076,Transportation,Air Freight/Delivery Services
DAN,Dana Incorporated Common Stock ,United States,,572282,Capital Goods,Auto Parts:O.E.M.
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,,2019,263385,Consumer Services,Other Consumer Services
DAR,Darling Ingredients Inc. Common Stock,United States,,635883,Consumer Non-Durables,Farming/Seeds/Milling
DASH,DoorDash Inc. Class A Common Stock,,2020,4356925,Capital Goods,Industrial Machinery/Components
DAVA,Endava plc American Depositary Shares (each representing one Class A Ordinary Share),,2018,128467,Technology,EDP Services
DB,Deutsche Bank AG Common Stock,Germany,,6103654,Finance,Commercial Banks
DBD,Diebold Nixdorf Incorporated Common Stock,United States,,494292,Technology,EDP Services
DBI,Designer Brands Inc. Class A Common Stock,United States,,1392461,Consumer Services,Clothing/Shoe/Accessory Stores
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,United States,2012,60199,,
DBRG,DigitalBridge Group Inc.,United States,2014,5331432,Consumer Services,Real Estate Investment Trusts
DBRG^H,DigitalBridge Group Inc. 7.125% Series H ,United States,,6183,,
DBRG^I,DigitalBridge Group Inc. 7.15% Series I ,United States,,32621,,
DBRG^J,DigitalBridge Group Inc. 7.125% Series J ,United States,,16941,,
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock,,2017,33332,Finance,Finance/Investors Services
DCI,Donaldson Company Inc. Common Stock,United States,,391128,Capital Goods,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,United States,,26415,Capital Goods,Military/Government/Technical
DCP,DCP Midstream  LP Common Units ,United States,,275654,Public Utilities,Natural Gas Distribution
DCP^B,DCP Midstream LP 7.875% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,United States,,8442,,
DCP^C,DCP Midstream LP 7.95% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,United States,,31234,,
DCUE,Dominion Energy Inc. 2019 Series A Corporate Units,United States,2019,22280,Public Utilities,Electric Utilities: Central
DD,DuPont de Nemours Inc. Common Stock,,2017,1299959,Capital Goods,Wholesale Distributors
DDD,3D Systems Corporation Common Stock,United States,,1561256,Technology,Computer peripheral equipment
DDF,Delaware Investments Dividend & Income Fund Inc. Common Stock,United States,1993,14995,Finance,Finance/Investors Services
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),,2021,38991,,
DDS,Dillard's Inc. Common Stock,United States,,471390,Consumer Services,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,United States,,2176,Consumer Services,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,United States,,4482494,Capital Goods,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,United States,2015,543637,Consumer Services,Real Estate Investment Trusts
DECK,Deckers Outdoor Corporation Common Stock,United States,1993,386482,Consumer Non-Durables,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,United States,2006,761816,Consumer Services,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,,2018,13024420,Technology,Computer Manufacturing
DEN,Denbury Inc. Common Stock,,2020,404859,Energy,Oil & Gas Production
DEO,Diageo plc Common Stock,United Kingdom,,157151,Consumer Non-Durables,Beverages (Production/Distribution)
DESP,Despegar.com Corp. Ordinary Shares,,2017,522053,Transportation,Other Consumer Services
DEX,Delaware Enhanced Global Dividend Common Shares of Beneficial Interest,United States,2007,13177,Finance,Finance Companies
DFIN,Donnelley Financial Solutions Inc. Common Stock ,,2016,149356,Finance,Investment Managers
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,,2013,58151,Finance,Investment Managers
DFS,Discover Financial Services Common Stock,United States,,1534831,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,United States,2009,956825,Consumer Services,Department/Specialty Retail Stores
DGX,Quest Diagnostics Incorporated Common Stock,United States,,720376,Health Care,Medical Specialities
DHF,BNY Mellon High Yield Strategies Fund Common Stock,United States,1998,395963,Finance,Finance Companies
DHI,D.R. Horton Inc. Common Stock,United States,,1824645,,
DHR,Danaher Corporation Common Stock,United States,,1557837,Health Care,Medical Specialities
DHR^A,Danaher Corporation 4.75% Mandatory Convertible Preferred Stock Series A,United States,,284,,
DHR^B,Danaher Corporation 5.00% Mandatory Convertible Preferred Stock Series B,United States,,248,,
DHT,DHT Holdings Inc.,Jersey,2005,1531181,Transportation,Marine Transportation
DHX,DHI Group Inc. Common Stock,United States,2007,121916,Technology,Diversified Commercial Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,,2014,55441,Finance,Finance Companies
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share),,2021,7970645,,
DIN,Dine Brands Global Inc. Common Stock,United States,,144033,Consumer Services,Restaurants
DIS,Walt Disney Company (The) Common Stock,United States,,14116309,Consumer Services,Movies/Entertainment
DK,Delek US Holdings Inc. Common Stock,United States,2017,966742,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,United States,2012,47056,Energy,Oil & Gas Production
DKS,Dick's Sporting Goods Inc Common Stock,United States,2002,4026279,Consumer Services,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,United States,2005,275783,Technology,EDP Services
DLNG,Dynagas LNG Partners LP Common Units,Greece,,20892,,
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,Greece,,1123,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,Greece,,3280,,
DLR,Digital Realty Trust Inc. Common Stock,United States,2004,1183944,Consumer Services,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,United States,,3235,,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,United States,,38366,,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,United States,,10299,,
DLX,Deluxe Corporation Common Stock,United States,,94263,Technology,Advertising
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,,2020,188914,Finance,Investment Managers
DM,Desktop Metal Inc. Class A Common Stock,,2019,3815610,Technology,Computer peripheral equipment
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,,2013,30903,Finance,Trusts Except Educational Religious and Charitable
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,United States,2010,29892,Finance,Trusts Except Educational Religious and Charitable
DMS,Digital Media Solutions Inc. Class A Ordinary Shares,United States,2018,33117,Technology,Advertising
DMYQ,dMY Technology Group Inc. IV Class A Common Stock,,2021,2677464,,
DMYS,dMY Technology Group Inc. VI Class A Common Stock,,2021,156399,,
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,United States,2021,3349892,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,United States,2020,1438976,Technology,EDP Services
DNMR,Danimer Scientific Inc. Common Stock,,2020,1289872,Consumer Non-Durables,Plastic Products
DNOW,NOW Inc. Common Stock,,2014,990016,Energy,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,United States,1987,382520,Finance,Investment Managers
DNZ,D and Z Media Acquisition Corp. Class A Common Stock,,2021,110,,
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,United States,2013,1260862,Consumer Services,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,,2021,2070304,Technology,Retail: Computer Software & Peripheral Equipment
DOCS,Doximity Inc. Class A Common Stock,,2021,2199515,Technology,Retail: Computer Software & Peripheral Equipment
DOLE,Dole plc Ordinary Shares,,2021,555993,,
DOMA,Doma Holdings Inc. Common Stock,,2021,562871,Finance,Real Estate
DOOR,Masonite International Corporation Ordinary Shares (Canada),Canada,,117077,,
DOV,Dover Corporation Common Stock,United States,,452041,Capital Goods,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,,2019,3306267,Basic Industries,Industrial Specialties
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,United States,2011,41715,Finance,Trusts Except Educational Religious and Charitable
DPZ,Domino's Pizza Inc Common Stock,United States,2004,209573,Consumer Non-Durables,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,China,2010,1032152,Technology,Semiconductors
DRD,DRDGOLD Limited American Depositary Shares,South Africa,,89205,Basic Industries,Precious Metals
DRE,Duke Realty Corporation Common Stock,United States,,1015849,Consumer Services,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company Common Stock,United States,2005,1123434,Consumer Services,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,United States,,2745,,
DRI,Darden Restaurants Inc. Common Stock,United States,,613940,Consumer Services,Restaurants
DRQ,Dril-Quip Inc. Common Stock,United States,1997,282301,Energy,Metal Fabrications
DS,Drive Shack Inc.,United States,,1893591,Consumer Services,Movies/Entertainment
DS^B,Drive Shack Inc. Preferred Series B,United States,,2761,,
DS^C,Drive Shack Inc. Preferred Series C,United States,,892,,
DS^D,Drive Shack Inc. Pfd Ser D,United States,,600,,
DSAQ,Direct Selling Acquisition Corp. Class A Common Stock,,2021,1310,,
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,,2013,429646,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,United States,1989,51493,Finance,Investment Managers
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,United States,1998,94147,Finance,Finance Companies
DSX,Diana Shipping inc. common stock,Greece,2005,606512,Transportation,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),Greece,,2774,,
DT,Dynatrace Inc. Common Stock,United States,2019,2428218,Technology,EDP Services
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,United States,2020,12747,Public Utilities,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,,2021,888667,Miscellaneous,Diversified Commercial Services
DTE,DTE Energy Company Common Stock,United States,,945181,Public Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income Inc. Common Stock,United States,1991,4982,Finance,Investment Managers
DTLA^,Brookfield DTLA Inc. 7.625% Series A Cumulative Redeemable Preferred Stock,,,2073,,
DTM,DT Midstream Inc. Common Stock ,,2021,326967,Public Utilities,Oil & Gas Production
DTP,DTE Energy Company 6.25% Corporate Units,United States,,238291,Public Utilities,Electric Utilities: Central
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,United States,2017,12547,Public Utilities,Electric Utilities: Central
DTY,DTE Energy Company 2016 Series F 6.00% Junior Subordinated Debentures due 2076,United States,2016,9020,,
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,,2236838,Public Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,70308,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,United States,2018,13516,Public Utilities,Power Generation
DV,DoubleVerify Holdings Inc. Common Stock,,2021,651124,Technology,Computer Software: Prepackaged Software
DVA,DaVita Inc. Common Stock,United States,,883685,Health Care,Medical/Nursing Services
DVD,Dover Motorsports Inc. Common Stock,United States,1996,36209,Consumer Services,Services-Misc. Amusement & Recreation
DVN,Devon Energy Corporation Common Stock,United States,,12212949,Energy,Oil & Gas Production
DWIN,Delwinds Insurance Acquisition Corp. Class A Common Stock,,2021,1590,,
DX,Dynex Capital Inc. Common Stock,United States,,464777,Consumer Services,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,1013,,
DXC,DXC Technology Company Common Stock ,,,1424096,Technology,EDP Services
DY,Dycom Industries Inc. Common Stock,United States,,858474,Basic Industries,Water Supply
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust Common Shares of Beneficial Interest,,2020,3913,Finance,Finance/Investors Services
E,ENI S.p.A. Common Stock,Italy,,145455,Energy,Oil & Gas Production
EAF,GrafTech International Ltd. Common Stock,United States,2018,855209,Consumer Durables,Metal Fabrications
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,United States,2016,9196,,
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,United States,2013,153035,Consumer Services,Real Estate Investment Trusts
EAT,Brinker International Inc. Common Stock,United States,,900229,Consumer Services,Restaurants
EB,Eventbrite Inc. Class A Common Stock,United States,2018,1039951,Technology,EDP Services
EBF,Ennis Inc. Common Stock,United States,,73698,Consumer Services,Office Equipment/Supplies/Services
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),,2016,773270,Public Utilities,Electric Utilities: Central
EBS,Emergent Biosolutions Inc. Common Stock,United States,2006,1008053,Health Care,Biotechnology: Pharmaceutical Preparations
EC,Ecopetrol S.A. American Depositary Shares,Colombia,,269169,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Trust Common Shares of Beneficial Interest,,2021,184218,,
ECC           ,Eagle Point Credit Company Inc. Common Stock,United States,2014,142325,Finance,Trusts Except Educational Religious and Charitable
ECCB,Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026,United States,2016,4631,Finance,Trusts Except Educational Religious and Charitable
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,United States,,3880,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,United States,2021,6759,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,United States,2018,1386,Finance,Trusts Except Educational Religious and Charitable
ECCY,Eagle Point Credit Company Inc. 6.75% Notes due 2027,United States,2017,6480,Finance,Trusts Except Educational Religious and Charitable
ECL,Ecolab Inc. Common Stock,United States,,616881,Consumer Non-Durables,Package Goods/Cosmetics
ECOM          ,ChannelAdvisor Corporation Common Stock,United States,2013,92185,Technology,Computer Software: Prepackaged Software
ECVT,Ecovyst Inc. Common Stock,United States,2017,793192,Basic Industries,Major Chemicals
ED,Consolidated Edison Inc. Common Stock,United States,,1295549,Public Utilities,Power Generation
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,United States,2007,107402,Finance,Finance Companies
EDF,Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,United States,2010,118526,Finance,Investment Managers
EDI,Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests,United States,2012,18760,Finance,Finance Companies
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Argentina,2007,4134,Public Utilities,Electric Utilities: Central
EDR,Endeavor Group Holdings Inc. Class A Common Stock,,2021,1092193,Consumer Services,Movies/Entertainment
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands),China,2006,24364947,Miscellaneous,Other Consumer Services
EEA,The European Equity Fund Inc. Common Stock,United States,,11722,Finance,Trusts Except Educational Religious and Charitable
EEX,Emerald Holding Inc. Common Stock,United States,2017,35012,Technology,Advertising
EFC,Ellington Financial Inc. Common Stock ,United States,2010,385009,Finance,Real Estate
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,789,,
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust Common Shares of Beneficial Interest,United States,2017,30886,Finance,Trusts Except Educational Religious and Charitable
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,United States,2003,111969,Finance,Trusts Except Educational Religious and Charitable
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,United States,2004,54684,Finance,Finance Companies
EFX,Equifax Inc. Common Stock,United States,,333999,Technology,Advertising
EGF,Blackrock Enhanced Government Fund Inc. Common Stock,United States,2005,2778,Finance,Trusts Except Educational Religious and Charitable
EGGF,EG Acquisition Corp. Class A Common Stock,,2021,6635,,
EGHT,8x8 Inc Common Stock,United States,,1085511,Technology,EDP Services
EGO,Eldorado Gold Corporation Ordinary Shares,Canada,,1069579,,
EGP,EastGroup Properties Inc. Common Stock,United States,,127679,Consumer Services,Real Estate Investment Trusts
EGY,VAALCO Energy Inc.  Common Stock,United States,,367437,Energy,Oil & Gas Production
EHC,Encompass Health Corporation Common Stock,United States,,622143,Health Care,Medical Specialities
EHI,Western Asset Global High Income Fund Inc Common Stock,United States,2003,44644,Finance,Investment Managers
EIC,Eagle Point Income Company Inc. Common Stock,,2019,15010,Finance,Finance/Investors Services
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,,2021,2702,Finance,Finance/Investors Services
EIG,Employers Holdings Inc Common Stock,United States,2007,54645,Finance,Property-Casualty Insurers
EIX,Edison International Common Stock,United States,,1746916,Public Utilities,Electric Utilities: Central
EL,Estee Lauder Companies Inc. (The) Common Stock,United States,1995,1016493,Consumer Non-Durables,Package Goods/Cosmetics
ELAN,Elanco Animal Health Incorporated Common Stock,United States,2018,3431748,Health Care,Biotechnology: Pharmaceutical Preparations
ELAT,Elanco Animal Health Incorporated 5.00% Tangible Equity Units,United States,2020,2138,Health Care,Biotechnology: Pharmaceutical Preparations
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,United States,2016,5281,,
ELF,e.l.f. Beauty Inc. Common Stock,United States,2016,248968,Consumer Non-Durables,Package Goods/Cosmetics
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),Brazil,2021,819885,Public Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,United States,,334887,Consumer Services,Real Estate Investment Trusts
ELVT,Elevate Credit Inc. Common Stock,United States,2017,101117,Finance,Finance Companies
ELY,Callaway Golf Company Common Stock,United States,1992,879389,Consumer Non-Durables,Recreational Products/Toys
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,United States,,153715,Finance,Finance/Investors Services
EME,EMCOR Group Inc. Common Stock,United States,,177256,Capital Goods,Engineering & Construction
EMF,Templeton Emerging Markets Fund Common Stock,United States,1987,60399,Finance,Finance/Investors Services
EMN,Eastman Chemical Company Common Stock,United States,,621024,Basic Industries,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,United States,2011,60156,Finance,Investment Managers
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,United States,2016,4664,,
EMR,Emerson Electric Company Common Stock,United States,,2738368,Capital Goods,Industrial Machinery/Components
ENB,Enbridge Inc Common Stock,Canada,,5300667,Energy,Oil & Gas Production
ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,Canada,2018,37238,Energy,Oil & Gas Production
ENBL,Enable Midstream Partners LP Common Units representing limited partner interests,,2014,598788,,
ENFN,Enfusion Inc. Class A Common Stock,,2021,321827,Technology,Computer Software: Prepackaged Software
ENIA,Enel Americas S.A. American Depositary Shares,Chile,,2273227,Public Utilities,Electric Utilities: Central
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),,2016,925135,Public Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,United States,,1012,Public Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,,,642626,Public Utilities,Natural Gas Distribution
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,United States,2016,2926,,
ENPC,Executive Network Partnering Corporation Class A Common Stock,,2020,52584,,
ENR,Energizer Holdings Inc. Common Stock,United States,2015,687056,Basic Industries,Metal Fabrications
ENR^A,Energizer Holdings Inc. 7.50% Series A Mandatory Convertible Preferred Stock,United States,,69881,,
ENS,EnerSys Common Stock,United States,2004,131123,Consumer Non-Durables,Telecommunications Equipment
ENV,Envestnet Inc Common Stock,United States,2010,108556,Technology,EDP Services
ENVA,Enova International Inc. Common Stock,United States,2014,183336,Finance,Finance: Consumer Services
ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value),United States,,92091,Health Care,Medical Specialities
EOCW,Elliott Opportunity II Corp. Class A Ordinary Shares,,2021,12,,
EOD,Wells Fargo Global Dividend Opportunity Fund,United States,2007,167982,Finance,Investment Managers
EOG,EOG Resources Inc. Common Stock,United States,,3049352,Energy,Oil & Gas Production
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,United States,2004,38113,Consumer Services,Real Estate Investment Trusts
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,,2005,65504,Finance,Trusts Except Educational Religious and Charitable
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,United States,2009,5779,Finance,Trusts Except Educational Religious and Charitable
EP^C,El Paso Corporation Preferred Stock,United States,,854,,
EPAC,Enerpac Tool Group Corp. Common Stock,United States,,89938,Capital Goods,Industrial Machinery/Components
EPAM,EPAM Systems Inc. Common Stock,United States,2012,302568,Technology,EDP Services
EPC,Edgewell Personal Care Company Common Stock,,,280216,Consumer Non-Durables,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P. Common Stock,United States,,3758433,Public Utilities,Natural Gas Distribution
EPR,EPR Properties Common Stock,United States,1997,449944,Consumer Services,Real Estate Investment Trusts
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,United States,,671,,
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,United States,,794,,
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,United States,,4120,,
EPRT,Essential Properties Realty Trust Inc. Common Stock,United States,2018,388542,Consumer Services,Real Estate Investment Trusts
EPWR,Empowerment & Inclusion Capital I Corp. Class A Common Stock,,2021,29814,,
EQC,Equity Commonwealth Common Shares of Beneficial Interest,United States,,663631,Consumer Services,Real Estate Investment Trusts
EQC^D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,United States,,11239,,
EQD,Equity Distribution Acquisition Corp. Class A Common Stock,United States,2020,26078,,
EQH,Equitable Holdings Inc. Common Stock,United States,2018,2059162,,
EQH^A,Equitable Holdings Inc. Depositary Shares,United States,,23666,,
EQH^C,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,United States,,12290,,
EQHA,EQ Health Acquisition Corp. Class A Common Stock,,2021,67,,
EQNR,Equinor ASA,Norway,,2051749,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,United States,,1067871,Consumer Services,Real Estate Investment Trusts
EQS,Equus Total Return Inc. Common Stock,United States,,11658,Finance,Finance/Investors Services
EQT,EQT Corporation Common Stock,United States,,3758570,Energy,Oil & Gas Production
ERF,Enerplus Corporation Common Stock,Canada,,2230992,,
ERJ,Embraer S.A. Common Stock,Brazil,2000,1340407,Capital Goods,Aerospace
ERO,Ero Copper Corp. Common Shares,,2021,24784,,
ES,Eversource Energy (D/B/A) Common Stock,United States,,783865,Public Utilities,Electric Utilities: Central
ESE,ESCO Technologies Inc. Common Stock,United States,,47272,Capital Goods,Telecommunications Equipment
ESGC,Eros STX Global Corporation A Ordinary Shares,,2013,1244925,Consumer Services,Movies/Entertainment
ESI,Element Solutions Inc. Common Stock,United States,2014,658663,Basic Industries,Industrial Specialties
ESM,ESM Acquisition Corporation Class A Ordinary Shares,,2021,4886,Finance,Business Services
ESMT,EngageSmart Inc. Common Stock,,2021,475808,Technology,EDP Services
ESNT,Essent Group Ltd. Common Shares,,2013,484572,Finance,Property-Casualty Insurers
ESRT,Empire State Realty Trust Inc. Class A Common Stock,United States,2013,1456147,Consumer Services,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,United States,1994,246025,Consumer Services,Real Estate Investment Trusts
ESTC,Elastic N.V. Ordinary Shares,United States,2018,1849821,Technology,Computer Software: Prepackaged Software
ESTE,Earthstone Energy Inc. Class A Common Stock,United States,,329880,Energy,Oil & Gas Production
ET,Energy Transfer LP Common Units ,United States,,8602754,Public Utilities,Natural Gas Distribution
ET^C,Energy Transfer L.P. 7.375% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,United States,,23173,,
ET^D,Energy Transfer L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,United States,,16866,,
ET^E,Energy Transfer L.P. 7.600% Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,United States,,39310,,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,United States,2005,44413,Finance,Trusts Except Educational Religious and Charitable
ETD,Ethan Allen Interiors Inc. Common Stock,United States,,216765,Consumer Durables,Home Furnishings
